,district,Res_population_2015,Res_population_2016,Res_population_2017,Res_population_2018,Res_population_2019,Res_population_2020,Res_population_2021,population_2023,population_2024,Income_population,INCOME_TWO_TMW_INHBT_RATE,INCOME_THREE_TMW_INHBT_RATE,INCOME_FOUR_TMW_INHBT_RATE,INCOME_FIVE_TMW_INHBT_RATE,INCOME_SIX_TMW_INHBT_RATE,INCOME_SEVEN_TMW_INHBT_RATE,INCOME_SEVEN_TMW_ABOVE_INHBT_RATE,FRNR_ALL_EXPNDTR_PRICE,income_all,floating_population
0,강남구,5265,5025,4888,5089,5040,4824,4758,"5,019","5,188",10763,0.09,0.28,0.21,0.13,0.07,0.05,0.18,1564122268,1038.408,6369370
1,강동구,4663,4303,4136,4347,4323,4028,3808,"4,045","4,052",1941,0.1,0.34,0.26,0.13,0.06,0.04,0.08,17328189,811.208,1952698
2,강북구,3553,3509,3523,3751,3741,3514,3381,"4,172","4,389",6508,0.14,0.41,0.25,0.1,0.04,0.02,0.03,7377850,878.592,991804
3,강서구,6617,6619,6564,6662,6477,5716,5453,"5,424","5,543",3017,0.11,0.34,0.26,0.13,0.06,0.04,0.07,212425610,1109.408,2769849
4,관악구,19368,18756,17632,18083,17240,14743,13750,"14,813","15,238",27036,0.12,0.4,0.26,0.11,0.05,0.02,0.04,43468212,3048.4,4041722
5,광진구,14811,14889,14595,15504,15622,13427,12631,"14,124","14,651",7320,0.13,0.38,0.24,0.11,0.05,0.03,0.06,86524869,2931,2947243
6,구로구,32512,32049,30817,33989,32707,28080,24409,"22,800","22,941",9733,0.13,0.39,0.24,0.11,0.05,0.03,0.05,63963638,4589,9579237
7,금천구,19883,19268,18337,20104,19010,16102,14080,"13,160","13,332",4979,0.14,0.41,0.25,0.11,0.05,0.02,0.03,46346911,2667.208,5836500
8,노원구,3638,3631,3672,4408,4398,3995,3990,"4,474","4,537",6873,0.13,0.34,0.25,0.12,0.06,0.03,0.06,15911750,908.192,1426320
9,도봉구,3595.5,3570,3597.5,4079.5,4069.5,3754.5,3685.5,4323,4463,6690.5,0.135,0.375,0.25,0.11,0.05,0.025,0.045,11644800,893.392,802408
10,동대문구,13671,15243,15364,16286,16829,14177,14606,"17,310","17,552",8850,0.13,0.37,0.26,0.11,0.05,0.03,0.04,47207405,3511.192,3314674
11,동작구,12133,12250,12276,13182,12949,10352,8881,"10,176","10,221",3361,0.16,0.4,0.22,0.1,0.05,0.03,0.05,19769407,2045.008,3167202
12,마포구,10708,10995,10868,11282,11890,9968,9781,"10,972","11,174",12272,0.12,0.35,0.24,0.12,0.06,0.03,0.08,352248500,2235.6,2919788
13,서대문구,10964,11677,12228,12767,13774,10779,10840,"13,529","13,604",11093,0.12,0.34,0.23,0.12,0.06,0.04,0.1,204129282,2721.608,2210686
14,서초구,4494,4285,4299,4212,4281,3899,3888,"4,148","4,269",9139,0.14,0.38,0.22,0.11,0.05,0.03,0.07,381000113,854.6,4086832
15,성동구,8062,7902,7903,8242,8090,6949,6682,"7,000","7,190",7239,0.08,0.27,0.22,0.13,0.08,0.05,0.18,48167420,1438.808,2394382
16,성북구,10285,11262,11352,11819,12094,9903,9614,"11,755","11,923",8905,0.11,0.35,0.23,0.12,0.06,0.04,0.1,32564720,2385.408,2101478
17,송파구,7178,7115,6677,6872,6780,5966,5627,"5,698","5,771",12890,0.15,0.37,0.23,0.11,0.05,0.03,0.06,480709007,1155,3363254
18,양천구,4478,4106,3864,3960,4120,3530,3185,"3,126","3,164",321,0.11,0.32,0.24,0.12,0.06,0.04,0.11,11986695,633.6,1513319
19,영등포구,39307,36166,33474,35822,33308,27887,24071,"22,385","22,703",8335,0.12,0.38,0.23,0.11,0.06,0.03,0.08,379403041,4541.408,10270415
20,용산구,14567,14861,15283,16091,16515,14605,14332,"14,726","14,781",10324,0.11,0.36,0.22,0.12,0.06,0.04,0.1,429979808,2957.008,2738931
21,은평구,4658,4461,4408,4469,4514,4208,3866,"3,895","3,997",12085,0.12,0.36,0.26,0.12,0.06,0.03,0.05,12371411,800.2,1430538
22,종로구,8836,9185,9487,9961,10579,9612,9106,"11,152","10,952",4019,0.15,0.39,0.21,0.1,0.05,0.03,0.07,447564737,2191.2,2710946
23,중구,8596,9160,8884,9908,10317,9395,9288,"10,427","10,613",6000,0.15,0.4,0.2,0.1,0.05,0.03,0.06,3404569833,2123.392,4609412
24,중랑구,4711,4672,4554,4938,5009,4860,4535,"4,925","5,044",12992,0.12,0.39,0.27,0.11,0.05,0.02,0.03,4170915,1009.592,1736150
,,,,,,,,,,,2758,,,,,,,,,,
