district,income_all,FRNR_ALL_EXPNDTR_PRICE,floating_population,레이블
강남구,1038.408,1564122268.0,6369370.0,0
강동구,811.208,17328189.0,1952698.0,3
강북구,878.592,7377850.0,991804.0,3
강서구,1109.408,212425610.0,2769849.0,3
관악구,3048.4,43468212.0,4041722.0,1
광진구,2931.0,86524869.0,2947243.0,1
구로구,4589.0,63963638.0,9579237.0,2
금천구,2667.208,46346911.0,5836500.0,1
노원구,908.192,15911750.0,1426320.0,3
도봉구,893.392,11644800.0,802408.0,3
동대문구,3511.192,47207405.0,3314674.0,1
동작구,2045.008,19769407.0,3167202.0,1
마포구,2235.6,352248500.0,2919788.0,1
서대문구,2721.608,204129282.0,2210686.0,1
서초구,854.6,381000113.0,4086832.0,3
성동구,1438.808,48167420.0,2394382.0,3
성북구,2385.408,32564720.0,2101478.0,1
송파구,1155.0,480709007.0,3363254.0,3
양천구,633.6,11986695.0,1513319.0,3
영등포구,4541.408,379403041.0,10270415.0,2
용산구,2957.008,429979808.0,2738931.0,1
은평구,800.2,12371411.0,1430538.0,3
종로구,2191.2,447564737.0,2710946.0,1
중구,2123.392,3404569833.0,4609412.0,0
중랑구,1009.592,4170915.0,1736150.0,3
