행정구,2024_population,bank_count,company_count,Income,레이블
강남구,6369370.0,7.443037975,3024.379747,48485.0,4
강동구,1952698.0,1.911346076,1694.184628,38348.0,6
강북구,991804.0,0.93220339,1118.008475,34365.0,5
강서구,2769849.0,1.399276236,1418.721351,38755.0,3
관악구,4041722.0,1.217450118,1768.312479,34851.0,2
광진구,2947243.0,2.286049238,1975.732708,36466.0,3
구로구,9579237.0,2.634194831,2623.807157,35504.0,1
금천구,5836500.0,3.456221198,3683.870968,35178.0,4
노원구,1426320.0,1.326185102,1069.667043,36938.0,0
도봉구,802408.0,0.968523002,1229.588378,35625.0,5
동대문구,3314674.0,3.305203938,3010.759494,36415.0,3
동작구,3167202.0,2.322738386,1706.295844,38134.0,3
마포구,2919788.0,3.018867925,2380.796646,39779.0,3
서대문구,2210686.0,2.382302893,1672.433352,37641.0,6
서초구,4086832.0,3.193527784,1531.999148,49457.0,2
성동구,2394382.0,2.853745541,2477.110583,39815.0,6
성북구,2101478.0,1.871440195,1412.205045,36801.0,6
송파구,3363254.0,3.39433294,2199.85242,41760.0,3
양천구,1513319.0,2.929350948,2178.575531,38883.0,0
영등포구,10270415.0,2.036659878,2387.861507,36069.0,1
용산구,2738931.0,2.834933699,1313.077275,42287.0,3
은평구,1430538.0,1.211713228,1228.845507,36775.0,0
종로구,2710946.0,3.847762442,2022.626516,38283.0,3
중구,4609412.0,13.85542169,7059.036145,38508.0,2
중랑구,1736150.0,1.405405405,2124.864865,34922.0,0
