name,행정동코드,인구수
가리봉동,11530595,7833
신촌동,11410585,5592
가산동,11545510,4979
신사동,11620685,4872
신사동,11620685,4872
신사동,11680510,4872
신사동,11680510,4872
도림동,11560585,4532
영등포본동,11560515,4184
연희동,11410615,3854
화양동,11215710,3739
혜화동,11110650,3222
조원동,11620725,3058
한남동,11170685,2969
제기동,11230545,2789
군자동,11215730,2740
회기동,11230710,2693
흑석동,11590605,2552
용신동,11230536,2403
안암동,11290600,2346
서교동,11440660,2323
신당동,11140615,2321
종암동,11290705,2155
한강로동,11170625,2093
사근동,11200550,2090
청룡동,11620595,2077
낙성대동,11620585,2051
대흥동,11440600,1920
신원동,11620655,1890
보광동,11170700,1832
광희동,11140590,1648
역삼1동,11680640,1547
용답동,11200790,1545
면목본동,11260565,1496
황학동,11140670,1488
용산2가동,11170520,1453
공릉2동,11350600,1437
신정4동,11470650,1435
석관동,11290810,1419
미성동,11620765,1354
풍납1동,11710510,1296
연남동,11440710,1288
서원동,11620645,1253
신림동,11620695,1242
공덕동,11440565,1231
공항동,11500620,1226
석촌동,11710600,1178
대학동,11620735,1177
강일동,11740515,1156
영등포동,11560535,1139
마장동,11200540,1138
장충동,11140580,1084
난곡동,11620775,1084
은천동,11620605,1069
서림동,11620665,1054
논현1동,11680521,1054
청파동,11170555,1042
반포4동,11650581,1032
보라매동,11620525,1018
송중동,11305545,1004
서강동,11440655,1004
잠실본동,11710650,1004
화곡본동,11500590,999
월계1동,11350560,975
신정3동,11470640,973
청량리동,11230705,965
방이2동,11710562,962
상암동,11440740,950
필동,11140570,937
왕십리도선동,11200535,935
행운동,11620575,935
역촌동,11380625,915
공릉1동,11350595,903
송천동,11305555,899
동선동,11290575,885
미아동,11305535,868
양재1동,11650651,860
반포1동,11650560,833
다산동,11140625,822
삼선동,11290555,813
수궁동,11530790,812
대방동,11590660,809
서빙고동,11170690,801
수유3동,11305635,790
삼전동,11710610,786
길동,11740685,785
약수동,11200645,769
후암동,11170510,766
녹번동,11380510,760
중앙동,11620615,752
중앙동,11620615,752
송정동,11200720,736
대조동,11380570,736
서초3동,11650530,733
번1동,11305595,717
신월1동,11470560,717
아현동,11440555,708
서초2동,11650520,706
충현동,11410565,699
송파1동,11710580,694
남영동,11170530,691
청담동,11680565,686
망우본동,11260655,685
논현2동,11680531,676
역삼2동,11680650,675
이화동,11110640,673
신도림동,11530510,658
하계1동,11350611,656
용강동,11440590,656
가락본동,11710620,656
삼성2동,11680590,652
성북동,11290525,648
보문동,11290610,639
서초4동,11650531,629
압구정동,11680545,621
구산동,11380560,615
명동,11140550,614
인헌동,11620625,610
회현동,11140540,607
합정동,11440680,599
진관동,11380690,595
신수동,11440630,585
인수동,11305660,569
오금동,11710570,567
도곡2동,11680656,561
방배4동,11650621,559
염리동,11440610,534
북아현동,11410555,529
세곡동,11680700,529
성현동,11620565,525
소공동,11140520,521
대치4동,11680630,521
목2동,11470520,512
신사동,11620685,503
신사동,11620685,503
신사동,11680510,503
신사동,11680510,503
잠원동,11650540,501
우장산동,11500615,499
중림동,11140680,498
강일동,11740515,498
신월3동,11470580,476
삼성1동,11680580,475
도화동,11440585,474
능동,11215780,471
문래동,11560605,469
목4동,11470540,467
방배본동,11650590,466
문정2동,11710642,466
반포2동,11650570,456
약수동,11140635,454
수유1동,11305615,452
잠실3동,11710680,450
마천1동,11710540,441
신정7동,11470680,438
신월2동,11470570,436
위례동,11710647,436
서초1동,11650510,435
남현동,11620630,434
양재2동,11650652,433
삼성동,11620745,431
평창동,11110560,430
삼양동,11305534,430
항동,11530800,430
가락2동,11710632,429
월계2동,11350570,427
목3동,11470530,423
천연동,11410520,419
금호4가동,11200620,414
마천2동,11710550,414
장지동,11710646,414
신월7동,11470611,410
월계3동,11350580,406
사직동,11110530,404
우이동,11305645,393
청구동,11140645,387
대치2동,11680610,387
신내1동,11260680,385
풍납2동,11710520,380
부암동,11110550,379
개포4동,11680690,375
신월5동,11470600,373
광장동,11215810,370
문정1동,11710641,367
잠실2동,11710670,364
수유2동,11305625,352
동화동,11140665,349
방배1동,11650600,341
난향동,11620715,335
상계1동,11350630,331
방배2동,11650610,330
상계2동,11350640,327
교남동,11110580,326
목1동,11470510,326
송파2동,11710590,321
도곡1동,11680655,319
상계5동,11350670,313
일원1동,11680730,306
신월4동,11470590,304
삼각산동,11305575,294
염창동,11500510,293
가락1동,11710631,290
잠실6동,11710710,290
방배3동,11650620,270
목5동,11470550,269
내곡동,11650660,269
개포2동,11680670,267
신정2동,11470630,262
신정1동,11470620,255
청림동,11620545,246
번2동,11305603,242
증산동,11380640,242
상계9동,11350710,235
을지로동,11140605,230
청운효자동,11110515,229
금호1가동,11200590,226
반포3동,11650580,225
수서동,11680750,222
용문동,11170590,220
효창동,11170580,218
번3동,11305608,215
대치1동,11680600,212
중계1동,11350621,208
방이1동,11710561,206
거여2동,11710532,197
신내2동,11260690,192
잠실4동,11710690,192
거여1동,11710531,190
일원본동,11680720,160
수색동,11380650,156
응봉동,11200580,155
가회동,11110600,154
중계본동,11350619,149
하계2동,11350612,144
신월6동,11470610,133
상계10동,11350720,126
신정6동,11470670,126
상계8동,11350700,122
중계4동,11350624,114
오륜동,11710566,113
잠실7동,11710720,108
무악동,11110570,96
삼청동,11110540,87
개포1동,11680660,87
반포본동,11650550,61
